appliance,Seq_F1,Seq_FPR,Seq_FP,Seq_Recall,SA_F1,SA_FPR,SA_FP,SA_Recall,BestF1_gate_threshold,BestF1_gate_F1,BestF1_gate_FPR,BestF1_gate_FP,BestF1_gate_Recall,BestFPR_gate_threshold,BestFPR_gate_F1,BestFPR_gate_FPR,BestFPR_gate_FP,BestFPR_gate_Recall
dishwasher,0.5533816071062121,0.0334316629419378,55170,0.6920110273631112,0.5850826261723984,0.0325857212804017,53774,0.7395811948265243,0.1,0.5785879866904263,0.013296312276092,21942.0,0.5380238730680118,0.7,0.521077577616609,0.0103894482715157,17145.0,0.4409185558846819
fridge,0.52903851080334,0.0598505179623944,57047,0.3865080216843312,0.5406453550103737,0.0448404147056416,42740,0.3911922455742657,0.1,0.5398913079887632,0.0444375434083331,42356.0,0.3902590654587241,0.7,0.5343600838446142,0.0427473724188434,40745.0,0.3840343745337371
kettle,0.7654388193310349,0.0001173242501655,248,0.6276347765709468,0.6209347186029984,0.0001002933106254,212,0.4549918166939443,0.1,0.6208880465682957,0.0001002933106254,212.0,0.4549422208996677,0.1,0.6208880465682957,0.0001002933106254,212.0,0.4549422208996677
microwave,0.2307571964956195,0.001601877221857,2732,0.1719715518246473,0.2429507696997409,0.0017302853886164,2951,0.185845866853212,0.2,0.2485707573028428,0.0015274122119098,2605.0,0.1850297306750612,0.7,0.2481994459833795,0.0014599832658946,2490.0,0.1828145039057945
washing_machine,0.5900256641464937,0.0164886852037006,27887,0.9273504273504274,0.5169677130678473,0.0236755453410757,40042,0.9572649572649572,0.7,0.7808949582667776,0.0024608565933159,4162.0,0.7568027210884354,0.7,0.7808949582667776,0.0024608565933159,4162.0,0.7568027210884354
