setting,model,MAE,SAE,Precision,Recall,F1-score,PR-AUC,FPR,TP,FP,TN,FN,status_positive_ratio
seq2point,Seq2Point,28.14542579650879,0.5228705406188965,0.34430487545241645,0.8734539562516879,0.4939146369397572,0.6901991573807036,0.06183853071747393,16172,30798,467241,2343,0.035843300022843694
state_0.01,StateAwareSeq2Point,30.95479393005371,0.6023315191268921,0.36144861031443914,0.7487442614096679,0.48754154284408024,0.5780799543397429,0.04917486381588591,13863,24491,473548,4652,0.035843300022843694
state_0.03,StateAwareSeq2Point,24.31863212585449,0.4446658194065094,0.4024903816158885,0.836240885768296,0.5434252320867627,0.6681738790800225,0.04615100423862388,15483,22985,475054,3032,0.035843300022843694
state_0.05,StateAwareSeq2Point,24.95021247863769,0.4763361513614654,0.36599848304258314,0.9121793140696732,0.5223940612434271,0.7840421697436313,0.05874238764434111,16889,29256,468783,1626,0.035843300022843694
state_0.1,StateAwareSeq2Point,25.40146827697754,0.4763815701007843,0.32464977645305515,0.8824196597353497,0.4746658919233004,0.7114141962955075,0.0682416437266961,16338,33987,464052,2177,0.035843300022843694
