run,test_house,beta,MAE,SAE,Precision,Recall,F1-score,PR-AUC,FPR,TP,FP,TN,FN
kettle_H1H3_to_H2H5_beta0p0,H2,0p0,8.822385787963867,0.1944929212331771,0.980142566191446,0.5728314238952537,0.7230725889754906,0.9657667079745877,0.00011070110701107011,11550,234,2113566,8613
kettle_H1H3_to_H2H5_beta0p0,H5,0p0,6.785425662994385,0.0706991329789161,0.901294498381877,0.4796211251435132,0.6260771824653428,0.7687274061723579,0.00018994278881683286,1671,183,963265,1813
kettle_H1H3_to_H2H5_beta0p001,H2,0p001,10.04273796081543,0.2604712843894958,0.981437598736177,0.6162277438873184,0.7570910641927916,0.9491450839310113,0.00011117418866496358,12425,235,2113565,7738
kettle_H1H3_to_H2H5_beta0p001,H5,0p001,6.942122936248779,0.1089299395680427,0.9239677744209466,0.5266934557979334,0.6709323583180987,0.7724927983981137,0.00015672874924230472,1835,151,963297,1649
kettle_H1H3_to_H2H5_beta0p003,H2,0p003,10.560066223144531,0.2783743739128113,0.9814668769716088,0.6172196597728513,0.7578479432451359,0.9561640188290771,0.00011117418866496358,12445,235,2113565,7718
kettle_H1H3_to_H2H5_beta0p003,H5,0p003,7.038240432739258,0.0778095126152038,0.9360613810741688,0.5252583237657864,0.6729178157749587,0.7796970206559979,0.0001297423420880006,1830,125,963323,1654
kettle_H1H3_to_H2H5_beta0p01,H2,0p01,9.867430686950684,0.1573784947395324,0.9797125950972105,0.5748152556663195,0.7245334917013097,0.9560975596955069,0.00011353959693443088,11590,240,2113560,8573
kettle_H1H3_to_H2H5_beta0p01,H5,0p01,6.987059116363525,0.0461543276906013,0.914272030651341,0.5479334098737084,0.6852117731514716,0.7822252560227648,0.00018579103387001685,1909,179,963269,1575
