split,model,appliance,MAE,RMSE,Precision,Recall,F1,FPR,TP,FP,TN,FN,positive_ratio
validation,Seq2Point,kettle,4.997766971588135,52.91953659057617,0.967741935483871,0.35294117647058826,0.5172413793103449,5.1767872858104264e-05,30.0,1.0,19316.0,55.0,0.004380991650345325
test,Seq2Point,kettle,23.490201950073242,214.7768096923828,1.0,0.04707012487992315,0.08990825688073394,0.0,49.0,0.0,98361.0,992.0,0.010472626305305729
validation,StateAwareSeq2Point,kettle,10.120931625366211,59.72739028930664,0.9375,0.17647058823529413,0.29702970297029707,5.1767872858104264e-05,15.0,1.0,19316.0,70.0,0.004380991650345325
test,StateAwareSeq2Point,kettle,28.264795303344727,219.64527893066406,1.0,0.053794428434197884,0.10209662716499544,0.0,56.0,0.0,98361.0,985.0,0.010472626305305729
