setting,model,MAE,SAE,Precision,Recall,F1-score,PR-AUC,FPR,TP,FP,TN,FN,status_positive_ratio
seq2point,Seq2Point,30.60439682006836,0.594233512878418,0.4610251951426813,0.6920110273631112,0.5533816071062121,0.6516702710992127,0.03343166294193786,47191,55170,1595062,21003,0.03968398988376572
state_0.01,StateAwareSeq2Point,30.939680099487305,0.554391622543335,0.43240459391255087,0.861835352083761,0.5758770876916218,0.6902915581612572,0.04674918435710858,58772,77147,1573085,9422,0.03968398988376572
state_0.03,StateAwareSeq2Point,30.573509216308597,0.5703033208847046,0.4325988147977677,0.6615538023873068,0.523121521335807,0.6086977983843618,0.03585677650172824,45114,59172,1591060,23080,0.03968398988376572
state_0.05,StateAwareSeq2Point,32.00294494628906,0.6331859827041626,0.4839793108080876,0.7395811948265243,0.5850826261723984,0.6483227191613987,0.03258572128040178,50435,53774,1596458,17759,0.03968398988376572
state_0.1,StateAwareSeq2Point,25.91118431091309,0.321466326713562,0.4283107106193681,0.8810159251547057,0.5764009478763923,0.7550177590932903,0.04859437945694908,60080,80192,1570040,8114,0.03968398988376572
