split,model,appliance,MAE,RMSE,Precision,Recall,F1,FPR,TP,FP,TN,FN,positive_ratio
validation,Seq2Point,dishwasher,0.8561833500862122,4.501440048217773,0.0,0.0,0.0,0.006134969325153374,0.0,119.0,19278.0,5.0,0.00025770539119678384
test,Seq2Point,dishwasher,13.360280990600586,110.68479919433594,0.42638075052985913,0.9827586206896551,0.594730892965829,0.04796605575363316,3420.0,4601.0,91321.0,60.0,0.03500935594857246
validation,StateAwareSeq2Point,dishwasher,1.4057570695877075,10.0455904006958,0.0,0.0,0.0,0.005825643140691859,0.0,113.0,19284.0,5.0,0.00025770539119678384
test,StateAwareSeq2Point,dishwasher,11.90115737915039,101.88687133789062,0.5275529265255293,0.9738505747126437,0.6843699515347335,0.03164029106982757,3389.0,3035.0,92887.0,91.0,0.03500935594857246
