run,beta,MAE,SAE,Precision,Recall,F1-score,PR-AUC,FPR,TP,FP,TN,FN
dishwasher_H1H5_to_H2_beta0p0,0p0,17.33139419555664,0.0803914964199066,0.34580072026008746,0.8687714461682846,0.4946956634282589,0.778212673143151,0.06791893503458908,59245,112082,1538150,8949
dishwasher_H1H5_to_H2_beta0p001,0p001,16.840055465698242,0.1045996472239494,0.35330636245459296,0.852890283602663,0.499639200054979,0.7628978864829918,0.06451214132315941,58162,106460,1543772,10032
dishwasher_H1H5_to_H2_beta0p003,0p003,24.85309219360352,0.2564752101898193,0.21012112390790663,0.8488869988562043,0.33686066506254053,0.772743904476042,0.13186873118446377,57889,217614,1432618,10305
dishwasher_H1H5_to_H2_beta0p01,0p01,16.028234481811523,0.1519510447978973,0.5126403003959022,0.9209167961990791,0.6586400557947341,0.834982050241575,0.03617915541572336,62801,59704,1590528,5393
