appliance,delta_MAE,delta_SAE,delta_Precision,delta_Recall,delta_F1-score,delta_PR-AUC,delta_FPR,delta_FP
dishwasher,1.3985481262207031,0.03895246982574463,0.022954115665406283,0.04757016746341314,0.031701019066186276,-0.0033475519378139973,-0.0008459416615360787,-1396
washing_machine,-1.041010856628418,0.24441699683666232,0.01577408569963379,0.02939124367695789,0.020614617516206857,0.1599825677415312,-0.000532141022100998,-900
fridge,1.1642436981201172,0.05616801977157598,0.01091048851616927,-0.02684627002803469,-0.02376236589184566,0.004124531146140753,-0.008577801371860698,-8176
kettle,1.8270769119262678,-0.0776942074298858,-0.0027208344786446848,-0.12136090859495119,-0.09824927684737472,-0.010901193782239749,-8.988551423975779e-06,-19
microwave,1.0157222747802734,-0.16701489686965948,-0.07076714068648521,0.014457269441529669,-0.006979994060520495,0.010960367594924109,0.000810906368165563,1383
