appliance,delta_MAE,delta_SAE,delta_Precision,delta_Recall,delta_F1-score,delta_PR-AUC,delta_FPR,delta_FP
dishwasher,1.3985481262207031,0.03895246982574463,0.022954115665406283,0.04757016746341314,0.031701019066186276,-0.0033475519378139973,-0.0008459416615360787,-1396
washing_machine,-0.30847835540771484,-0.02325905114412309,-0.0785502915829287,0.02991452991452992,-0.07305795107864643,0.02253227988445272,0.007186860137375163,12155
fridge,-0.846588134765625,0.01826310157775879,0.03679438506192423,0.004684223889934447,0.011606844207033729,0.033030103707061276,-0.015010103256752817,-14307
kettle,-0.6920881271362322,-0.0824713334441185,-0.0033664950952111417,-0.17264295987700246,-0.14450410072803643,-0.002276122595660235,-1.7030939540164626e-05,-36
microwave,-0.2738475799560547,0.031514644622802734,0.00010893887106799838,0.01387431502856476,0.012193573204121372,0.02723508148630241,0.00012840816675940576,219
